label,data
3300,3950
3300,3950
3300,3950
3300,3925
3300,3803
3300,3851
3300,3827
3300,3925
3300,3851
3300,3875
3300,3925
3300,3925
3300,3827
3300,3803
3300,3875
3300,3851
3300,3900
3300,3950
3300,3803
3300,3827
3300,3875
3300,3803
3300,3950
3300,3875
3300,3827
3300,3851
3300,3827
3300,3900
3300,3875
3300,3851
3300,3851
3300,3875
3300,3827
3300,3827
3300,3851
3300,3875
3300,3827
3300,3875
3300,3875
3300,3827
3300,3875
3300,3803
3300,3900
3300,3803
3300,3950
3300,3803
3300,3875
3300,3827
3300,3803
3300,3875
3300,3875
3300,3875
3300,3925
3300,3803
3300,3875
3300,3803
3300,3925
3300,3827
3300,3950
3300,3851
3300,3925
3300,3803
3300,3803
3300,3900
3300,3803
3300,3900
3300,3900
3300,3875
3300,3875
3300,3851
3300,3827
3300,3827
3300,3803
3300,3827
3300,3827
3300,3803
3300,3803
3300,3900
3300,3827
3300,3851
3300,3827
3300,3925
3300,3827
3300,3851
3300,3827
3300,3950
3300,3851
3300,3827
3300,3803
3300,3803
3300,3803
3300,3803
3300,3875
3300,3803
3300,3827
3300,3950
3300,3851
3300,3851
3300,3827
3300,3851
3300,3925
3300,3925
3300,3925
3300,3875
3300,3950
3300,3803
3300,3803
3300,3875
3300,3900
3300,3950
3300,3827
3300,3900
3300,3925
3300,3875
3300,3803
3300,3900
3300,3803
3300,3827
3300,3827
3300,3827
3300,3925
3300,3875
3300,3803
3300,3950
3300,3950
3300,3827
3300,3827
3300,3827
3300,3900
3300,3875
3300,3803
3300,3827
3300,3875
3300,3851
3300,3827
3300,3803
3300,3851
3300,3900
3300,3827
3300,3803
3300,3827
3300,3925
3300,3851
3300,3827
3300,3925
3300,3875
3300,3803
3300,3925
3300,3900
3300,3827
3300,3851
3300,3875
3300,3875
3300,3900
3300,3803
3300,3827
3300,3851
3300,3827
3300,3803
3300,3851
3300,3827
3300,3851
3300,3827
3300,3803
3300,3827
3300,3900
3300,3875
3300,3900
3300,3900
3300,3925
3300,3925
3300,3803
3300,3803
3300,3900
3300,3900
3300,3900
3300,3925
3300,3925
3300,3803
3300,3803
3300,3803
3300,3851
3300,3827
3300,3875
3300,3827
3300,3851
3300,3900
3300,3900
3300,3875
3300,3900
3300,3803
3300,3803
3300,3875
3300,3851
3300,3827
3300,3827
3300,3827
3300,3803
3300,3875
3300,3875
3300,3803
3300,3803
3300,3950
3300,3827
3300,3900
3300,3803
3300,3875
3300,3827
3300,3803
3300,3875
3300,3925
3300,3851
3300,3900
3300,3950
3300,3851
3300,3851
3300,3827
3300,3803
3300,3803
3300,3950
3300,3875
3300,3875
3300,3900
3300,3875
3300,3851
3300,3925
3300,3851
3300,3950
3300,3950
3300,3827
3300,3875
3300,3827
3300,3803
3300,3900
3300,3950
3300,3851
3300,3900
3300,3925
3300,3900
3300,3875
3300,3950
3300,3900
3300,3875
3300,3803
3300,3875
3300,3925
3300,3803
3300,3950
3300,3875
3300,3900
3300,3925
3300,3900
3300,3803
3300,3851
3300,3803
3300,3827
3300,3925
3300,3851
3300,3925
3300,3950
3300,3851
3300,3900
3300,3803
3300,3803
3300,3900
3300,3925
3300,3875
3300,3950
3300,3900
3300,3875
3300,3875
3300,3803
3300,3851
3300,3803
3300,3803
3300,3875
3300,3925
3300,3875
3300,3875
3300,3950
3300,3900
3300,3803
3300,3950
3300,3851
3300,3900
3300,3851
3300,3803
3300,3803
3300,3900
3300,3925
3300,3851
3300,3950
3300,3925
3300,3925
3300,3950
3300,3875
3300,3900
3300,3803
3300,3900
3300,3950
3300,3950
3300,3900
3300,3803
3300,3875
3300,3900
3300,3827
3300,3851
3300,3900
3300,3925
3300,3900
3300,3950
3300,3851
3300,3925
3300,3803
3300,3925
3300,3925
3300,3827
3300,3925
3300,3875
3300,3900
3300,3925
3300,3851
3300,3875
3300,3900
3300,3900
3300,3950
3300,3950
3300,3900
3300,3900
3300,3925
3300,3875
3300,3827
3300,3875
3300,3803
3300,3925
3300,3900
3300,3851
3300,3827
3300,3950
3300,3900
3300,3925
3300,3950
3300,3900
3300,3875
3300,3803
3300,3950
3300,3803
3300,3827
