label,data
1200,1262
1200,1260
1200,1265
1200,1262
1200,1260
1200,1265
1200,1260
1200,1260
1200,1262
1200,1260
1200,1262
1200,1262
1200,1260
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1262
1200,1260
1200,1265
1200,1260
1200,1260
1200,1265
1200,1262
1200,1260
1200,1262
1200,1262
1200,1265
1200,1260
1200,1262
1200,1260
1200,1262
1200,1265
1200,1260
1200,1260
1200,1265
1200,1265
1200,1262
1200,1265
1200,1260
1200,1260
1200,1265
1200,1265
1200,1262
1200,1265
1200,1262
1200,1262
1200,1260
1200,1260
1200,1265
1200,1265
1200,1262
1200,1260
1200,1265
1200,1265
1200,1262
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1260
1200,1262
1200,1265
1200,1265
1200,1262
1200,1262
1200,1260
1200,1262
1200,1265
1200,1265
1200,1265
1200,1260
1200,1262
1200,1265
1200,1262
1200,1260
1200,1262
1200,1260
1200,1260
1200,1260
1200,1262
1200,1265
1200,1262
1200,1265
1200,1265
1200,1260
1200,1260
1200,1260
1200,1260
1200,1265
1200,1262
1200,1265
1200,1262
1200,1265
1200,1262
1200,1262
1200,1260
1200,1265
1200,1260
1200,1260
1200,1265
1200,1260
1200,1262
1200,1265
1200,1262
1200,1265
1200,1260
1200,1262
1200,1265
1200,1265
1200,1265
1200,1260
1200,1260
1200,1265
1200,1262
1200,1265
1200,1262
1200,1265
1200,1265
1200,1260
1200,1265
1200,1260
1200,1265
1200,1260
1200,1265
1200,1265
1200,1265
1200,1260
1200,1262
1200,1260
1200,1260
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1260
1200,1265
1200,1262
1200,1260
1200,1262
1200,1265
1200,1262
1200,1265
1200,1260
1200,1260
1200,1265
1200,1260
1200,1265
1200,1265
1200,1265
1200,1260
1200,1262
1200,1262
1200,1262
1200,1265
1200,1260
1200,1265
1200,1260
1200,1260
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1265
1200,1262
1200,1260
1200,1260
1200,1260
1200,1260
1200,1260
1200,1265
1200,1265
1200,1260
1200,1265
1200,1265
1200,1265
1200,1265
1200,1260
1200,1260
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1265
1200,1260
1200,1262
1200,1265
1200,1260
1200,1262
1200,1265
1200,1260
1200,1262
1200,1260
1200,1262
1200,1262
1200,1262
1200,1262
1200,1260
1200,1260
1200,1262
1200,1260
1200,1265
1200,1260
1200,1260
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1265
1200,1265
1200,1265
1200,1265
1200,1260
1200,1262
1200,1260
1200,1265
1200,1262
1200,1262
1200,1262
1200,1265
1200,1262
1200,1265
1200,1265
1200,1265
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1262
1200,1260
1200,1260
1200,1262
1200,1262
1200,1260
1200,1260
1200,1265
1200,1260
1200,1260
1200,1260
1200,1260
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1260
1200,1262
1200,1262
1200,1265
1200,1265
1200,1260
1200,1260
1200,1265
1200,1265
1200,1262
1200,1265
1200,1262
1200,1262
1200,1262
1200,1262
1200,1262
1200,1262
1200,1265
1200,1265
1200,1262
1200,1265
1200,1260
1200,1265
1200,1265
1200,1265
1200,1262
1200,1260
1200,1260
1200,1260
1200,1260
1200,1262
1200,1260
1200,1265
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1260
1200,1260
1200,1260
1200,1265
1200,1265
1200,1265
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1260
1200,1260
1200,1265
1200,1262
1200,1262
1200,1265
1200,1265
1200,1265
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1260
1200,1265
1200,1265
1200,1260
1200,1262
1200,1262
1200,1262
1200,1265
1200,1262
1200,1260
1200,1265
1200,1262
1200,1265
1200,1265
1200,1262
1200,1260
1200,1265
1200,1265
1200,1262
1200,1260
1200,1260
1200,1262
1200,1262
1200,1265
1200,1262
1200,1262
1200,1260
1200,1262
1200,1262
1200,1262
1200,1262
1200,1265
1200,1262
1200,1265
1200,1265
1200,1262
1200,1262
1200,1265
1200,1262
1200,1262
1200,1262
1200,1265
1200,1262
1200,1265
1200,1262
1200,1265
1200,1262
1200,1262
1200,1262
1200,1260
1200,1260
