label,data
3000,3421
3000,3383
3000,3383
3000,3402
3000,3440
3000,3440
3000,3421
3000,3383
3000,3421
3000,3440
3000,3402
3000,3440
3000,3402
3000,3421
3000,3440
3000,3402
3000,3402
3000,3440
3000,3383
3000,3383
3000,3421
3000,3440
3000,3421
3000,3383
3000,3402
3000,3421
3000,3440
3000,3421
3000,3402
3000,3402
3000,3440
3000,3421
3000,3383
3000,3421
3000,3383
3000,3440
3000,3402
3000,3440
3000,3402
3000,3402
3000,3440
3000,3383
3000,3440
3000,3421
3000,3402
3000,3421
3000,3383
3000,3402
3000,3421
3000,3402
3000,3383
3000,3383
3000,3402
3000,3421
3000,3440
3000,3421
3000,3402
3000,3383
3000,3440
3000,3421
3000,3421
3000,3402
3000,3440
3000,3421
3000,3421
3000,3383
3000,3421
3000,3421
3000,3383
3000,3383
3000,3421
3000,3402
3000,3402
3000,3383
3000,3383
3000,3440
3000,3402
3000,3402
3000,3421
3000,3421
3000,3402
3000,3440
3000,3440
3000,3421
3000,3383
3000,3421
3000,3440
3000,3383
3000,3421
3000,3402
3000,3383
3000,3383
3000,3421
3000,3440
3000,3383
3000,3383
3000,3383
3000,3402
3000,3421
3000,3440
3000,3402
3000,3402
3000,3440
3000,3402
3000,3402
3000,3421
3000,3383
3000,3421
3000,3383
3000,3383
3000,3402
3000,3402
3000,3440
3000,3440
3000,3383
3000,3402
3000,3421
3000,3383
3000,3421
3000,3402
3000,3402
3000,3440
3000,3383
3000,3402
3000,3440
3000,3421
3000,3383
3000,3383
3000,3383
3000,3402
3000,3440
3000,3383
3000,3402
3000,3383
3000,3440
3000,3440
3000,3383
3000,3440
3000,3402
3000,3383
3000,3383
3000,3383
3000,3440
3000,3402
3000,3440
3000,3383
3000,3440
3000,3440
3000,3383
3000,3383
3000,3421
3000,3402
3000,3383
3000,3383
3000,3440
3000,3402
3000,3383
3000,3421
3000,3402
3000,3440
3000,3421
3000,3402
3000,3421
3000,3421
3000,3421
3000,3402
3000,3383
3000,3402
3000,3383
3000,3383
3000,3402
3000,3440
3000,3421
3000,3383
3000,3440
3000,3383
3000,3421
3000,3383
3000,3440
3000,3421
3000,3421
3000,3402
3000,3440
3000,3383
3000,3402
3000,3402
3000,3421
3000,3440
3000,3421
3000,3421
3000,3402
3000,3421
3000,3421
3000,3421
3000,3440
3000,3440
3000,3402
3000,3421
3000,3421
3000,3383
3000,3383
3000,3383
3000,3440
3000,3402
3000,3421
3000,3383
3000,3402
3000,3383
3000,3421
3000,3402
3000,3440
3000,3402
3000,3440
3000,3421
3000,3421
3000,3383
3000,3421
3000,3402
3000,3421
3000,3402
3000,3440
3000,3383
3000,3421
3000,3383
3000,3383
3000,3402
3000,3440
3000,3383
3000,3440
3000,3383
3000,3440
3000,3440
3000,3440
3000,3440
3000,3440
3000,3402
3000,3402
3000,3402
3000,3402
3000,3402
3000,3383
3000,3402
3000,3383
3000,3440
3000,3383
3000,3421
3000,3440
3000,3440
3000,3440
3000,3421
3000,3402
3000,3440
3000,3383
3000,3440
3000,3421
3000,3383
3000,3440
3000,3421
3000,3402
3000,3440
3000,3402
3000,3383
3000,3402
3000,3440
3000,3402
3000,3402
3000,3421
3000,3383
3000,3421
3000,3421
3000,3402
3000,3383
3000,3421
3000,3383
3000,3383
3000,3421
3000,3383
3000,3383
3000,3440
3000,3421
3000,3402
3000,3402
3000,3402
3000,3421
3000,3383
3000,3402
3000,3440
3000,3383
3000,3421
3000,3383
3000,3440
3000,3383
3000,3383
3000,3440
3000,3383
3000,3402
3000,3440
3000,3421
3000,3383
3000,3440
3000,3383
3000,3440
3000,3383
3000,3440
3000,3383
3000,3383
3000,3402
3000,3440
3000,3383
3000,3383
3000,3402
3000,3421
3000,3421
3000,3402
3000,3440
3000,3402
3000,3402
3000,3421
3000,3440
3000,3421
3000,3402
3000,3402
3000,3421
3000,3383
3000,3440
3000,3383
3000,3402
3000,3383
3000,3402
3000,3421
3000,3421
3000,3383
3000,3421
3000,3383
3000,3383
