label,data
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2268
2100,2276
2100,2268
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2268
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2276
2100,2268
2100,2276
